0.933,0.930,0.927
0.935,0.929,0.918
0.935,0.926,0.909
0.935,0.923,0.899
0.933,0.919,0.887
0.931,0.914,0.875
0.929,0.909,0.863
0.925,0.903,0.849
0.922,0.896,0.836
0.918,0.890,0.822
0.914,0.883,0.808
0.910,0.876,0.793
0.906,0.869,0.779
0.901,0.862,0.765
0.897,0.855,0.750
0.893,0.848,0.736
0.888,0.841,0.721
0.883,0.834,0.707
0.879,0.827,0.693
0.874,0.820,0.678
0.869,0.813,0.664
0.864,0.806,0.650
0.860,0.799,0.636
0.855,0.792,0.622
0.850,0.785,0.607
0.845,0.779,0.593
0.840,0.772,0.579
0.835,0.765,0.565
0.829,0.758,0.551
0.824,0.751,0.537
0.819,0.744,0.523
0.814,0.738,0.509
0.808,0.731,0.495
0.803,0.724,0.481
0.798,0.717,0.467
0.792,0.711,0.452
0.787,0.704,0.438
0.781,0.697,0.424
0.775,0.691,0.410
0.770,0.684,0.396
0.764,0.677,0.382
0.758,0.671,0.368
0.753,0.664,0.353
0.747,0.658,0.339
0.741,0.651,0.325
0.735,0.644,0.310
0.729,0.638,0.296
0.723,0.631,0.281
0.717,0.625,0.266
0.711,0.618,0.251
0.704,0.612,0.235
0.698,0.605,0.220
0.692,0.599,0.204
0.686,0.593,0.187
0.680,0.587,0.171
0.674,0.580,0.154
0.668,0.575,0.136
0.662,0.569,0.118
0.657,0.564,0.099
0.652,0.559,0.080
0.647,0.555,0.060
0.643,0.551,0.040
0.641,0.548,0.023
0.639,0.546,0.011
0.638,0.546,0.006
0.638,0.546,0.007
0.639,0.547,0.014
0.641,0.549,0.027
0.644,0.552,0.046
0.648,0.556,0.066
0.653,0.560,0.085
0.658,0.565,0.104
0.663,0.570,0.123
0.669,0.576,0.141
0.675,0.582,0.158
0.681,0.588,0.175
0.688,0.594,0.192
0.694,0.601,0.208
0.700,0.607,0.224
0.706,0.614,0.240
0.712,0.620,0.255
0.718,0.627,0.270
0.724,0.633,0.285
0.730,0.640,0.300
0.736,0.646,0.314
0.742,0.653,0.329
0.748,0.659,0.343
0.754,0.666,0.357
0.760,0.672,0.372
0.766,0.679,0.386
0.771,0.686,0.400
0.777,0.692,0.414
0.783,0.699,0.428
0.788,0.706,0.442
0.794,0.712,0.456
0.799,0.719,0.470
0.805,0.726,0.484
0.810,0.733,0.498
0.815,0.739,0.512
0.820,0.746,0.527
0.826,0.753,0.541
0.831,0.760,0.555
0.836,0.767,0.569
0.841,0.773,0.583
0.846,0.780,0.597
0.851,0.787,0.611
0.856,0.794,0.625
0.861,0.801,0.640
0.866,0.808,0.654
0.871,0.815,0.668
0.875,0.822,0.682
0.880,0.829,0.697
0.885,0.836,0.711
0.889,0.843,0.725
0.894,0.850,0.740
0.898,0.857,0.754
0.902,0.864,0.768
0.907,0.871,0.783
0.911,0.877,0.797
0.915,0.884,0.812
0.918,0.890,0.826
0.921,0.897,0.840
0.924,0.902,0.854
0.926,0.907,0.867
0.927,0.912,0.880
0.927,0.915,0.892
0.927,0.918,0.903
0.925,0.919,0.913
0.922,0.919,0.922
0.918,0.919,0.930
0.913,0.917,0.937
0.908,0.914,0.943
0.901,0.910,0.948
0.894,0.905,0.951
0.886,0.900,0.954
0.877,0.894,0.956
0.869,0.888,0.958
0.860,0.881,0.960
0.850,0.874,0.961
0.841,0.868,0.961
0.832,0.861,0.962
0.822,0.854,0.963
0.812,0.847,0.963
0.803,0.840,0.964
0.793,0.833,0.964
0.783,0.826,0.964
0.773,0.819,0.965
0.763,0.812,0.965
0.753,0.805,0.966
0.743,0.798,0.966
0.733,0.791,0.966
0.723,0.785,0.967
0.713,0.778,0.967
0.703,0.771,0.968
0.692,0.764,0.968
0.682,0.757,0.968
0.671,0.750,0.969
0.660,0.744,0.969
0.650,0.737,0.969
0.639,0.730,0.969
0.628,0.724,0.970
0.616,0.717,0.970
0.605,0.710,0.970
0.594,0.704,0.971
0.582,0.697,0.971
0.570,0.690,0.971
0.559,0.684,0.971
0.546,0.677,0.971
0.534,0.671,0.972
0.522,0.664,0.972
0.509,0.657,0.972
0.496,0.651,0.972
0.483,0.644,0.972
0.469,0.638,0.973
0.455,0.632,0.973
0.441,0.625,0.973
0.426,0.619,0.973
0.411,0.612,0.973
0.396,0.606,0.973
0.380,0.600,0.973
0.363,0.594,0.973
0.346,0.588,0.973
0.329,0.582,0.974
0.311,0.576,0.974
0.293,0.571,0.974
0.276,0.566,0.974
0.259,0.561,0.974
0.244,0.557,0.974
0.231,0.554,0.974
0.221,0.552,0.974
0.214,0.551,0.974
0.212,0.550,0.974
0.215,0.551,0.974
0.222,0.552,0.974
0.233,0.555,0.974
0.247,0.558,0.974
0.263,0.562,0.974
0.280,0.567,0.974
0.297,0.572,0.974
0.315,0.577,0.974
0.333,0.583,0.974
0.350,0.589,0.973
0.367,0.595,0.973
0.383,0.601,0.973
0.399,0.607,0.973
0.415,0.614,0.973
0.430,0.620,0.973
0.444,0.627,0.973
0.458,0.633,0.973
0.472,0.639,0.972
0.486,0.646,0.972
0.499,0.652,0.972
0.512,0.659,0.972
0.524,0.665,0.972
0.537,0.672,0.972
0.549,0.679,0.971
0.561,0.685,0.971
0.573,0.692,0.971
0.585,0.698,0.971
0.596,0.705,0.970
0.608,0.712,0.970
0.619,0.718,0.970
0.630,0.725,0.970
0.641,0.732,0.969
0.652,0.738,0.969
0.663,0.745,0.969
0.673,0.752,0.968
0.684,0.759,0.968
0.694,0.766,0.968
0.705,0.772,0.968
0.715,0.779,0.967
0.725,0.786,0.967
0.736,0.793,0.966
0.746,0.800,0.966
0.756,0.807,0.966
0.766,0.814,0.965
0.775,0.820,0.965
0.785,0.827,0.964
0.795,0.834,0.964
0.805,0.841,0.963
0.814,0.848,0.963
0.824,0.855,0.963
0.834,0.862,0.962
0.843,0.869,0.962
0.852,0.876,0.961
0.862,0.883,0.960
0.871,0.890,0.960
0.880,0.896,0.959
0.888,0.903,0.957
0.896,0.909,0.956
0.904,0.914,0.954
0.911,0.919,0.952
0.918,0.923,0.948
0.923,0.926,0.944
0.928,0.929,0.940
0.931,0.930,0.934
